Emp_ID,Name,Sex,DOB,Age,Join_Date,Tenure,Gross_Pay,Net_Pay,Deductions,Deduction_perc,Role,Dept
19575,'Keven Norman',M,03/09/1994,25,02/12/2019,7,93652.5,89367.5,4285,4.58,'Product Operations Analyst.Associate.','IT Product Management  Ops'
19944,'Kristin Werner',F,23/06/1994,26,13/01/2020,6,44375,39971,4404,9.92,'Platform Operations Engineer.Associate.','Platform Operations'
20055,'Avery Barber',M,27/02/1996,24,14/11/2019,8,102828.75,97131.25,5697.5,5.54,'Platform Operations Engineer.Associate.','Platform Operations'
20058,'Boris Gibson',M,29/09/1993,26,13/01/2020,6,55468.75,50205,5263.75,9.49,'Platform Operations Engineer.Associate.','Platform Operations'
20332,'Leif Mack',M,01/05/1991,29,04/06/2018,25,294256.25,179953.75,114302.5,38.84,'Software Engineer.Senior.','Enterprise Access Engineering'
20849,'Fredric Peters',M,29/04/1988,32,07/11/2019,8,109125,71688.75,37436.25,34.31,'LMS Administrator II..','Learning  Development'
20852,'Sherry Bowman',F,17/11/1992,27,13/01/2020,6,44375,39939,4436,10,'Platform Operations Engineer.Associate.','Platform Operations'
21115,'Donte Richard',M,28/02/1996,24,13/01/2020,6,55468.75,51788.75,3680,6.63,'Platform Operations Engineer.Associate.','Platform Operations'
21437,'Bobby Horton',M,13/11/1995,24,11/11/2019,8,121243.75,114912.5,6331.25,5.22,'Technical Solutions Engineer.Associate.','AmaTec - Weekend TSE'
22043,'Kenya Montoya',F,24/09/1995,24,13/01/2020,6,44375,39976,4399,9.91,'Platform Operations Engineer.Associate.','Platform Operations'
22612,'Ola Lara',F,01/11/1992,27,26/09/2019,9,99552,88551,11001,11.05,'Technical Solutions Engineer..','AmaTec - EMEA TSE'
22651,'Graham Carey',M,01/06/1995,25,13/01/2020,6,55468.75,48786.25,6682.5,12.05,'Platform Operations Engineer.Associate.','Platform Operations'
22686,'Morgan Owens',M,14/05/1994,26,17/10/2019,8,86100,81957.5,4142.5,4.81,'Account Service Manager..','Americas- AMG'
22689,'Angie Norton',F,09/08/1990,29,17/10/2019,8,212250,127263,84987,40.04,'Software Engineer.Senior.','Corporate Systems'
22708,'Jarvis Gamble',M,18/10/1992,27,21/10/2019,8,97243.75,88691.25,8552.5,8.79,'Network Administrator..','Enterprise Infrastructure Services'
22709,'Otto Sweeney',M,27/09/1986,33,21/10/2019,8,219416.25,160671.25,58745,26.77,'Business Systems Analyst.Senior.','Corporate Systems'
22720,'Lea Mccormick',F,27/08/1988,31,24/10/2019,8,96367,91567,4800,4.98,'Client Service Manager..','Americas- AMG'
22726,'Marvin Mcguire',M,18/01/1989,31,21/10/2019,8,203333.75,143212.5,60121.25,29.57,'Business Operations Analyst.Senior.','Web Strategy'
22727,'Booker Hodge',M,10/08/1994,25,24/10/2019,8,133666.25,111721.25,21945,16.42,'Systems Support Engineer II..','IT DevOps'
22730,'Fanny Reed',F,15/02/1996,24,24/10/2019,8,70417,65607,4810,6.83,'Server Tech Services Engineer..','Networks - EMEA Infrastructure'
22750,'Long Forbes',M,02/01/1993,27,28/10/2019,8,249166.25,174548.75,74617.5,29.95,'Data Scientist.Senior.','Security Engineering'
22769,'Megan Mcneil',F,09/08/1991,28,31/10/2019,8,167600,96868,70732,42.2,'Data Scientist.Senior.','Security Engineering'
